title,categoryName,city,totalScore,reviewsCount
Starbucks Coffee Rest Area Km 7,Kedai Kopi,Kota Tangerang Selatan,4.6,1772.0
WINGLOK Hongkong Dimsum Bintaro,Restoran Dim Sum,Kota Tangerang Selatan,4.8,2784.0
Wheels Coffee Roasters - Heritage Bintaro,Kedai Kopi,Kota Tangerang Selatan,4.9,3315.0
Benteng Speelwijk,Bangunan Bersejarah,Kota Serang,4.6,2181.0
Kandank Jurank Creative Park,Taman,Kota Tangerang Selatan,4.5,1691.0
Pemancingan Serang Hijau,Restoran Ikan Bakar,Kota Serang,4.2,1083.0
Bakoel Koffie Bintaro,Kedai Kopi,Kota Tangerang Selatan,4.4,1354.0
Starbucks Coffee - Mall Bintaro Jaya Xchange,Kedai Kopi,Kota Tangerang Selatan,4.6,559.0
Bagi Kopi Ciputat - Jombang,Kedai Kopi,Kota Tangerang Selatan,4.9,1254.0
Rummah Go'A,Kafe seni,Kota Tangerang Selatan,4.4,2137.0
Bi Coffee,Restoran,Kota Tangerang Selatan,4.5,3173.0
Kopi Kebun,Kedai Kopi,Tangerang,4.6,1209.0
BXSea Oceanarium,Akuarium,Kota Tangerang Selatan,4.9,15663.0
Starbucks Coffee Bintaro Jaya Sektor 9,Kedai Kopi,Kota Tangerang Selatan,4.6,2199.0
Heritage Lifestyle Hub Bintaro,Mal outlet,Kota Tangerang Selatan,4.6,1068.0
Talaga Sampireun - Bintaro,Restoran Sunda,Kota Tangerang Selatan,4.7,19833.0
SEDJUK BAKMI & KOPI BINTARO,Restoran,Kota Tangerang Selatan,4.7,2836.0
7 Dials Coffee,Kafe,Kota Tangerang Selatan,4.6,607.0
Lot 9 Cafe & Restaurant,Restoran,Kota Tangerang Selatan,4.5,7280.0
Dapoer Kebun,Restoran,Kota Tangerang Selatan,4.6,1639.0
Alun Alun Malingping,Taman,Kabupaten Lebak,4.3,4429.0
Teras Oceanarium by Plataran,Restoran,Kota Tangerang,4.8,981.0
Kedai Kita Bintaro,Restoran Keluarga,Kota Tangerang Selatan,4.9,4414.0
Bebek Kaleyo Bintaro,Restoran Jawa,Kota Tangerang Selatan,4.6,5252.0
Kampung kecil ciputat,Restoran,Kota Tangerang Selatan,5.0,22700.0
Bebek Carok - Bintaro,Restoran,Kota Tangerang Selatan,4.7,2985.0
Kebun Teh Organik Harendong,Taman,Kabupaten Lebak,4.4,608.0
